frame.number,frame.time,frame.len,ip.len,tcp.len,udp.length,ip.src,ip.dst,_ws.col.Protocol
"164","Nov 22, 2024 12:44:46.912376000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"165","Nov 22, 2024 12:44:46.912393000 CST","17442","17428","17376",,"10.10.1.1","10.10.1.2","TCP"
"166","Nov 22, 2024 12:44:46.912403000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"167","Nov 22, 2024 12:44:46.912409000 CST","34818","34804","34752",,"10.10.1.1","10.10.1.2","TCP"
"168","Nov 22, 2024 12:44:46.912415000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"169","Nov 22, 2024 12:44:46.912438000 CST","30474","30460","30408",,"10.10.1.1","10.10.1.2","TCP"
"170","Nov 22, 2024 12:44:46.912445000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"171","Nov 22, 2024 12:44:46.912457000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"172","Nov 22, 2024 12:44:46.912465000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"173","Nov 22, 2024 12:44:46.912479000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"174","Nov 22, 2024 12:44:46.912481000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"175","Nov 22, 2024 12:44:46.912507000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"176","Nov 22, 2024 12:44:46.912521000 CST","13098","13084","13032",,"10.10.1.1","10.10.1.2","TCP"
"177","Nov 22, 2024 12:44:46.912539000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"178","Nov 22, 2024 12:44:46.912546000 CST","65226","65212","65160",,"10.10.1.1","10.10.1.2","TCP"
"179","Nov 22, 2024 12:44:46.912571000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"180","Nov 22, 2024 12:44:46.912586000 CST","33370","33356","33304",,"10.10.1.1","10.10.1.2","TCP"
"181","Nov 22, 2024 12:44:46.912602000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"182","Nov 22, 2024 12:44:46.912607000 CST","17442","17428","17376",,"10.10.1.1","10.10.1.2","TCP"
"183","Nov 22, 2024 12:44:46.912620000 CST","21786","21772","21720",,"10.10.1.1","10.10.1.2","TCP"
"184","Nov 22, 2024 12:44:46.912628000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"185","Nov 22, 2024 12:44:46.912648000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"186","Nov 22, 2024 12:44:46.912661000 CST","43506","43492","43440",,"10.10.1.1","10.10.1.2","TCP"
"187","Nov 22, 2024 12:44:46.912690000 CST","39162","39148","39096",,"10.10.1.1","10.10.1.2","TCP"
"188","Nov 22, 2024 12:44:46.912704000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"189","Nov 22, 2024 12:44:46.912716000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"190","Nov 22, 2024 12:44:46.912727000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"191","Nov 22, 2024 12:44:46.912731000 CST","21786","21772","21720",,"10.10.1.1","10.10.1.2","TCP"
"192","Nov 22, 2024 12:44:46.912741000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"193","Nov 22, 2024 12:44:46.912754000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"194","Nov 22, 2024 12:44:46.912770000 CST","43506","43492","43440",,"10.10.1.1","10.10.1.2","TCP"
"195","Nov 22, 2024 12:44:46.912806000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"196","Nov 22, 2024 12:44:46.912820000 CST","23234","23220","23168",,"10.10.1.1","10.10.1.2","TCP"
"197","Nov 22, 2024 12:44:46.912822000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"198","Nov 22, 2024 12:44:46.912837000 CST","31922","31908","31856",,"10.10.1.1","10.10.1.2","TCP"
"199","Nov 22, 2024 12:44:46.912838000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"200","Nov 22, 2024 12:44:46.912851000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"201","Nov 22, 2024 12:44:46.912861000 CST","10202","10188","10136",,"10.10.1.1","10.10.1.2","TCP"
"202","Nov 22, 2024 12:44:46.912861000 CST","17442","17428","17376",,"10.10.1.1","10.10.1.2","TCP"
"203","Nov 22, 2024 12:44:46.912867000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"204","Nov 22, 2024 12:44:46.912889000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"205","Nov 22, 2024 12:44:46.912930000 CST","47850","47836","47784",,"10.10.1.1","10.10.1.2","TCP"
"206","Nov 22, 2024 12:44:46.912967000 CST","33218","33204","33152",,"10.10.1.1","10.10.1.2","TCP"
"207","Nov 22, 2024 12:44:46.912985000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"208","Nov 22, 2024 12:44:46.913003000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"209","Nov 22, 2024 12:44:46.969458000 CST","114","100","48",,"10.10.1.1","10.10.1.2","TCP"
"210","Nov 22, 2024 12:44:47.012387000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"211","Nov 22, 2024 12:44:47.016518000 CST","114","100","48",,"10.10.1.1","10.10.1.2","TCP"
"212","Nov 22, 2024 12:44:47.016603000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"213","Nov 22, 2024 12:44:47.071692000 CST","114","100","48",,"10.10.1.1","10.10.1.2","TCP"
"214","Nov 22, 2024 12:44:47.071776000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"215","Nov 22, 2024 12:44:47.120100000 CST","114","100","48",,"10.10.1.1","10.10.1.2","TCP"
"216","Nov 22, 2024 12:44:47.120186000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"217","Nov 22, 2024 12:44:48.955264000 CST","114","100","48",,"10.10.1.2","10.10.1.1","TCP"
"218","Nov 22, 2024 12:44:48.955564000 CST","7306","7292","7240",,"10.10.1.1","10.10.1.2","TCP"
"219","Nov 22, 2024 12:44:48.955565000 CST","7306","7292","7240",,"10.10.1.1","10.10.1.2","TCP"
"220","Nov 22, 2024 12:44:48.955608000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"221","Nov 22, 2024 12:44:48.955623000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"222","Nov 22, 2024 12:44:48.956262000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"223","Nov 22, 2024 12:44:48.956288000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"224","Nov 22, 2024 12:44:48.956311000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"225","Nov 22, 2024 12:44:48.956330000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"226","Nov 22, 2024 12:44:48.956652000 CST","21786","21772","21720",,"10.10.1.1","10.10.1.2","TCP"
"227","Nov 22, 2024 12:44:48.956682000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"228","Nov 22, 2024 12:44:48.956706000 CST","7306","7292","7240",,"10.10.1.1","10.10.1.2","TCP"
"229","Nov 22, 2024 12:44:48.956706000 CST","7306","7292","7240",,"10.10.1.1","10.10.1.2","TCP"
"230","Nov 22, 2024 12:44:48.956724000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"231","Nov 22, 2024 12:44:48.956732000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"232","Nov 22, 2024 12:44:48.956754000 CST","21786","21772","21720",,"10.10.1.1","10.10.1.2","TCP"
"233","Nov 22, 2024 12:44:48.956795000 CST","34818","34804","34752",,"10.10.1.1","10.10.1.2","TCP"
"234","Nov 22, 2024 12:44:48.956795000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"235","Nov 22, 2024 12:44:48.956833000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"236","Nov 22, 2024 12:44:48.956839000 CST","4410","4396","4344",,"10.10.1.1","10.10.1.2","TCP"
"237","Nov 22, 2024 12:44:48.956839000 CST","4410","4396","4344",,"10.10.1.1","10.10.1.2","TCP"
"238","Nov 22, 2024 12:44:48.956839000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"239","Nov 22, 2024 12:44:48.956871000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
"240","Nov 22, 2024 12:44:48.956876000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"241","Nov 22, 2024 12:44:48.956885000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"242","Nov 22, 2024 12:44:48.956894000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
